Year,Month,Mean maximum,Mean minimum,Highest temperature ,Lowest temperature
1970,7,13.1,5.2,15.8,1.5
1970,8,13.4,5.1,17.8,-0.7
1970,9,14.6,4.9,18.4,-1.1
1970,10,18.8,7.2,26.7,1.7
1970,11,21.7,9.6,30.6,2.3
1970,12,24.4,11.5,36.3,6.1
1971,1,26,14.3,38,9.8
1971,2,26.8,15.5,34.4,9.9
1971,3,25.5,14,32.7,7.6
1971,4,21.5,11.4,27.1,7.3
1971,5,15.9,7.4,20.4,3.7
1971,6,13.2,6.3,16.2,2.3
1971,7,13,4.7,15.6,-1.2
1971,8,13.8,4.7,18.4,-0.5
1971,9,16.1,6.4,21.9,0.4
1971,10,18.1,7.6,27.8,2.5
1971,11,19.4,9.2,28.8,4.6
1971,12,24.4,11.6,34.2,6.6
1972,1,25,13.9,31.8,7.2
1972,2,26.8,15,36.9,9.6
1972,3,23.3,11.3,31.7,4.2
1972,4,20.3,9.8,28.5,4.4
1972,5,17.6,7.8,26.9,2.6
1972,6,13.9,4.1,18.4,-0.9
1972,7,13.4,4.8,16.8,0.5
1972,8,14.9,6,21.4,-0.1
1972,9,19,7.7,26.7,3.3
1972,10,19.8,8.2,28.1,1.7
1972,11,20.9,9.9,31.8,5.6
1972,12,26.5,12.5,39,8.1
1973,1,27.7,14.6,39.8,7.7
1973,2,25.6,14.9,36.2,9.7
1973,3,20.9,10.8,30.3,6.6
1973,4,20.2,10.9,26.9,4.6
1973,5,15.8,7.6,20.1,2.7
1973,6,13,4.9,17.4,-0.2
1973,7,12.5,3.8,16,-2.2
1973,8,13.3,5.5,18,1.2
1973,9,16.9,7.4,23.5,3
1973,10,19.7,9.2,25.4,2.8
1973,11,20.2,10,29.5,6.9
1973,12,25.8,12.5,36.5,7.6
1974,1,28.2,15.4,34.5,8
1974,2,25.9,14,33.6,8.4
1974,3,26.3,15.6,36.4,9
1974,4,18.5,11.4,22.2,4.9
1974,5,16.6,8.4,22.3,2.9
1974,6,13.5,6.1,17.7,1.5
1974,7,12.9,6,16.1,1
1974,8,13.4,5.4,16.7,-0.6
1974,9,14.9,6.3,19.9,0.2
1974,10,17.6,8.4,24.5,3.7
1974,11,19.6,8.4,31.5,2.5
1974,12,23.8,9.8,33.2,5.3
1975,1,24.8,11.4,35.9,6.2
1975,2,27.6,14.4,39,9.1
1975,3,23.1,11.4,33.4,5.7
1975,4,19,9.7,25.4,3.9
1975,5,17.5,9.4,25.4,4.6
1975,6,13.4,5.5,17.5,0.6
1975,7,15.1,6.7,22.7,0.6
1975,8,13.2,6.1,17,2.3
1975,9,16.8,7.8,22.3,3.6
1975,10,17.9,9.7,27.5,1.9
1975,11,22.2,11.6,32.1,4.1
1975,12,24.3,13.6,38.1,7.8
1976,1,25.7,13.4,41.4,10.2
1976,2,27.5,15,38.4,9.5
1976,3,24.5,12.9,33.9,8.4
1976,4,20.4,10.7,28.9,5.3
1976,5,16.5,7.6,23.6,2.8
1976,6,13.5,6,19.2,0.6
1976,7,13.5,4.8,18.5,-2.3
1976,8,13.9,5.1,22,0.7
1976,9,15.8,6.5,23.8,0.9
1976,10,16.3,7.6,24.7,2.7
1976,11,20.5,9.9,30.2,3.8
1976,12,25.3,11.4,38.1,6
1977,1,26.7,12.7,37.6,7.8
